mnemonic,description
FASF_USD,"Central Bank Survey, Net Foreign Assets, US Dollars"
FASODEA_EUR,"Central Bank Survey, Other deposits of other sectors (Euro area-Wide-Residency), Euros"
FASO_EUR,"Central Bank Survey, Other Items (Net), Euros"
FASO_XDC,"Central Bank Survey, Other Items (Net), National Currency"
FASO_USD,"Central Bank Survey, Other Items (Net), US Dollars"
FASOEA_EUR,"Central Bank Survey, Other Items Net (Euro Area-Wide-Residency), Euros"
FASOLDEA_EUR,"Central Bank Survey, Other Liabilities to Other Depository Corporations (Euro Area-Wide-Residency), Euros"
FASLD_EUR,"Central Bank Survey, Other Liabilities To Other Depository Corporations, Euros"
FASLD_XDC,"Central Bank Survey, Other Liabilities To Other Depository Corporations, National Currency"
FASLD_USD,"Central Bank Survey, Other Liabilities To Other Depository Corporations, US Dollars"
FMRMBBM_PT,"Central Bank Survey, Ratio of Monetary Base to Broad Money, Percent"
FASLSEA_EUR,"Central Bank Survey, Securities Other than Shares (Euro area-Wide-Residency), Euros"
FASDSOEA_EUR,"Central Bank Survey, Securities Other than Shares excl. from Broad Money (Euro Area-Wide-Residency), Euros"
FASEEA_EUR,"Central Bank Survey, Shares and Other Equity (Euro Area-Wide-Residency), Euros"
FASE_EUR,"Central Bank Survey, Shares and other Equity, Euros"
FASE_XDC,"Central Bank Survey, Shares and other Equity, National Currency"
FASE_USD,"Central Bank Survey, Shares and other Equity, US Dollars"
FAAG_EUR,"Central Bank, Total Gross Assets, Euro"
FAAG_XDC,"Central Bank, Total Gross Assets, National Currency"
FAAG_USD,"Central Bank, Total Gross Assets, US Dollars"
GCADAFXD_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Assets, Domestic, Cash, National Currency"
GCADAFXD_T_G01_CA_USD,"Central Government, Assets and Liabilities, Assets, Domestic, Cash, US Dollars"
GCADAFXD_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Assets, Domestic, Euros"
GCADAFDX_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Assets, Domestic, Transactions, Cash, Cash, National Currency"
GCADAFDX_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Assets, Domestic, Transactions, Cash, Euros"
GCADAFXF_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Assets, Foreign, Cash, National Currency"
GCADAFXF_T_G01_CA_USD,"Central Government, Assets and Liabilities, Assets, Foreign, Cash, US Dollars"
GCADAFXF_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Assets, Foreign, Euros"
GCADAFFX_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Assets, Foreign, Transactions, Cash, Cash, National Currency"
GCADAFFX_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Assets, Foreign, Transactions, Cash, Euros"
GCADAFX_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Assets, Net Acquisition of Financial Assets Other than Cash, Cash, National Currency"
GCADAFX_T_G01_CA_USD,"Central Government, Assets and Liabilities, Assets, Net Acquisition of Financial Assets Other than Cash, Cash, US Dollars"
GCADAFX_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Assets, Net Acquisition of Financial Assets Other than Cash, Euros"
GCADANP_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Assets, Non-financial Assets, Purchases of Non-financial Assets, Noncash, Euros"
GCADANP_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Assets, Non-financial Assets, Purchases of Non-financial Assets, Noncash, National Currency"
GCADANP_T_G01_AC_USD,"Central Government, Assets and Liabilities, Assets, Non-financial Assets, Purchases of Non-financial Assets, Noncash, US Dollars"
GCADANS_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Assets, Non-financial Assets, Sales of Non-financial Assets, Noncash, Euros"
GCADANS_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Assets, Non-financial Assets, Sales of Non-financial Assets, Noncash, National Currency"
GCADANS_T_G01_AC_USD,"Central Government, Assets and Liabilities, Assets, Non-financial Assets, Sales of Non-financial Assets, Noncash, US Dollars"
GCALFV_G01_CA_XDC,"Central Government, Assets and Liabilities, Debt (at Face Value), Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCALFV_G01_AC_XDC,"Central Government, Assets and Liabilities, Debt (at Face Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALFV_G01_AC_USD,"Central Government, Assets and Liabilities, Debt (at Face Value), Noncash, US Dollars"
GCALM_G01_AC_EUR,"Central Government, Assets and Liabilities, Debt (at Market Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GCALM_G01_AC_XDC,"Central Government, Assets and Liabilities, Debt (at Market Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALM_G01_AC_USD,"Central Government, Assets and Liabilities, Debt (at Market Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GCALN_G01_AC_XDC,"Central Government, Assets and Liabilities, Debt (at Nominal Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAF_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAF_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAF_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAF_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAF_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAF_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAF_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFCD_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFCD_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFCD_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFCD_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFCD_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFCD_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFCD_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFD_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFD_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFD_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFD_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFD_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFD_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFD_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFFD_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFFD_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFFD_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFFD_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFFD_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFFD_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFFD_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADAFFD_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFF_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFF_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFF_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFF_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFF_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFF_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFF_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFIR_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFIR_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFIR_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFIR_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFIR_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFIR_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFIR_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADAFIR_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFLS_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFLS_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFLS_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFLS_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFLS_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFLS_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFLS_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADAFLS_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFM_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFM_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFM_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFM_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFM_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFM_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GCADAFM_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADAFM_T_G01_CA_USD,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GCADAFM_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFO_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFO_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFO_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFO_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFO_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFO_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFSO_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFSO_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFSO_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFSO_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFSO_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFSO_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFSO_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADAFSO_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAAFAE_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAAFAE_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAAFAE_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAAFAE_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADAFAE_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADAFAE_T_G01_AC_USD,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADAFAE_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADAFAE_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCAL_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCAL_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCAL_G01_CA_EUR,"Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, Euros"
GCAL_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCAL_G01_CA_USD,"Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, US Dollars"
GCAL_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADL_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADL_T_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADL_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GCADL_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADL_T_G01_CA_USD,"Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GCADL_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALCD_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCALCD_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCALCD_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCALCD_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADLCD_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADLCD_T_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADLCD_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADLCD_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALD_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCALD_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GCALD_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALD_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GCADLD_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GCADLD_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADLD_T_G01_CA_USD,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GCADLD_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GCADLD_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADLD_T_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GCALFD_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCALFD_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCALFD_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCALFD_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADLFD_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADLFD_T_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADLFD_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADLFD_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALF_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCALF_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GCALF_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALF_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GCADLF_T_G01_CA_EUR,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GCADLF_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADLF_T_G01_CA_USD,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GCADLF_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALIR_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GCALIR_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCALIR_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GCALIR_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GCADLIR_T_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GCADLIR_T_G01_AC_USD,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GCADLIR_T_G01_CA_XDC,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GCADLIR_T_G01_AC_XDC,"Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GCALLS_G01_AC_EUR,"Central Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
